Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpRiskPercent,InpSL_ATR_Mult,InpTP_ATR_Mult,InpTrailStartMult,InpTrailStepMult,InpBreakEvenMult,InpFastEMA,InpSlowEMA,InpRSIPeriod,InpRSILow,InpRSIHigh,InpATRPeriodSlow,InpCooldownBars,InpMaxSpreadPoints,InpMaxSlippagePoints,InpStartHour,InpEndHour
885,208.25,430.43,143.476667,3.124112,0.831171,0.070329,208.25328968616492,4.7301,3,1.75,1.00,3.75,2.75,0.45,1.7,38,260,12,45,57,40,1,28,3,21,16
1820,208.25,430.43,143.476667,3.124112,0.831171,0.070329,208.25328968616492,4.7301,3,1.75,1.00,3.75,2.75,1.25,1.9,32,260,12,45,57,40,1,28,3,21,16
3548,208.25,430.43,143.476667,3.124112,0.831171,0.070329,208.25328968616492,4.7301,3,1.75,1.00,3.75,2.75,0.45,1.7,38,280,12,45,57,40,1,28,3,21,16
2560,208.15,183.45,45.862500,2.775552,0.607129,0.287869,208.14556175044513,2.9904,4,1.00,1.25,3.75,2.25,1.55,1.1,10,180,12,50,59,75,8,14,10,23,11
4399,207.86,183.06,45.765000,2.771777,0.889764,0.333789,207.8624890124228,2.0552,4,1.00,1.25,1.75,0.75,0.65,0.8,28,260,12,50,59,75,8,14,10,23,11
3673,207.80,204.49,22.721111,2.338023,0.864724,1.090034,207.80345427982735,2.3172,9,1.50,2.75,2.25,2.00,1.15,1.0,24,300,12,49,56,70,8,14,10,5,10
3273,207.73,115.26,19.210000,2.493005,0.870412,0.901559,207.72965881304788,1.3170,6,0.75,2.00,3.75,1.00,0.45,0.8,28,280,12,50,59,75,8,14,10,23,13
5825,207.12,4.62,2.310000,4.142857,0.086793,0.006174,207.12214492836432,0.5301,2,1.00,3.00,3.75,0.75,1.25,1.8,16,260,9,46,59,75,8,12,10,23,13
4030,206.61,678.43,42.401875,3.306016,3.408340,9.935628,206.60535917856214,1.9328,16,1.00,1.50,2.00,0.50,1.25,1.8,14,120,8,45,59,50,3,36,9,2,15
7176,206.46,118.99,19.831667,2.477769,1.123289,0.962444,206.46014550722441,1.0360,6,0.75,2.00,4.00,1.00,0.25,1.2,10,280,22,44,51,55,4,38,10,14,22
3094,206.35,698.40,16.241860,2.275407,2.958194,11.672748,206.35346817741978,2.2184,43,1.25,2.25,3.25,0.50,0.25,1.5,20,140,10,47,56,75,5,24,6,12,10
